drug_id,drug_name,smiles
RxNorm:4053,erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
RxNorm:52582,mesalazine,C1=CC(=C(C=C1N)C(=O)O)O
RxNorm:31748,nicorandil,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-]
RxNorm:5880,"interferon alfa-2b, recombinant",CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.C(S(=O)(=O)[O-])(I)I.[Na+]
RxNorm:7623,ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
RxNorm:32624,oxcarbazepine,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
RxNorm:6058,isosorbide dinitrate,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
RxNorm:1025342,l-methylfolate,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
RxNorm:6813,methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
RxNorm:8698,probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
RxNorm:9071,quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
RxNorm:7804,oxycodone,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
RxNorm:82122,levofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
RxNorm:28863,lofexidine,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl
RxNorm:7052,morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
RxNorm:73032,remifentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC
RxNorm:139462,moxifloxacin,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
RxNorm:31448,nabumetone,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
RxNorm:32937,paroxetine,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
RxNorm:7240,nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
RxNorm:4582,tegafur,C1CC(OC1)N2C=C(C(=O)NC2=O)F
RxNorm:10633,tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
RxNorm:36567,simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
RxNorm:1086769,vilazodone,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N
RxNorm:9894,sodium nitrite,N(=O)[O-].[Na+]
RxNorm:1151,vitamin c,C(C(C1C(=C(C(=O)O1)O)O)O)O
RxNorm:11258,vitamin k,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
RxNorm:10635,tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
RxNorm:10689,tramadol,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
RxNorm:46041,alendronate,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
RxNorm:2106337,amifampridine phosphate,C1=CN=CC(=C1N)N.OP(=O)(O)O
RxNorm:1425099,trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5
RxNorm:1455099,vortioxetine,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
RxNorm:1886,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
RxNorm:10169,sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
RxNorm:73178,iloperidone,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
RxNorm:51499,irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
RxNorm:10171,sulfadiazine,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
RxNorm:10178,sulfadimidine,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
RxNorm:10831,sulfamethoxazole / trimethoprim,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
RxNorm:28439,lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
RxNorm:10184,sulfanilamide,C1=CC(=CC=C1N)S(=O)(=O)N
RxNorm:43611,latanoprost,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O
RxNorm:36437,sertraline,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
RxNorm:9524,sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
RxNorm:10207,sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
RxNorm:39786,venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
RxNorm:6387,lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
RxNorm:6694,mefloquine,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
RxNorm:7299,neomycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
RxNorm:1433212,levomilnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
RxNorm:588250,milnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
RxNorm:2049846,elagolix,CC1=C(C(=O)N(C(=O)N1CC2=C(C=CC=C2F)C(F)(F)F)CC(C3=CC=CC=C3)NCCCC(=O)O)C4=C(C(=CC=C4)OC)F
RxNorm:4179,etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
RxNorm:6038,isoniazid,C1=CN=CC=C1C(=O)NN
RxNorm:480167,lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
RxNorm:6313,leucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
RxNorm:6809,metformin,CN(C)C(=N)N=C(N)N
RxNorm:6826,methazolamide,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
RxNorm:6835,methimazole,CN1C=CNC1=S
RxNorm:6851,methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
RxNorm:6915,metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
RxNorm:6960,midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
RxNorm:15996,mirtazapine,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
